,time,caltime,pixmem,addsOrSubs,divisions,comparisons,width,height,width2,height2,dx,dy,numPixelsOrig,numPixelsSub
94,5.831725,2.540382,234967500,548222101,78322500,0,8850,8850,0,0,7,7,78322500,0
96,5.823964,2.503909,237630000,554434401,79210000,0,8900,8900,0,0,7,7,79210000,0
97,5.885052,2.585079,240307500,560681701,80102500,0,8950,8950,0,0,7,7,80102500,0
98,5.80081,2.532645,243000000,566964001,81000000,0,9000,9000,0,0,7,7,81000000,0
179,4.809271,2.628332,243000000,566964001,81000000,0,9000,9000,0,0,7,7,81000000,0
99,5.913595,2.610264,245707500,573281301,81902500,0,9050,9050,0,0,7,7,81902500,0
100,5.8563,2.549904,248430000,579633601,82810000,0,9100,9100,0,0,7,7,82810000,0
102,6.690209,2.865386,251167500,586020901,83722500,0,9150,9150,0,0,7,7,83722500,0
181,5.052894,2.719967,253920000,592443201,84640000,0,9200,9200,0,0,7,7,84640000,0
103,10.084387,4.601441,253920000,592443201,84640000,0,9200,9200,0,0,7,7,84640000,0
104,5.176151,2.605390,256687500,598900501,85562500,0,9250,9250,0,0,7,7,85562500,0
105,5.300212,2.687265,259470000,605392801,86490000,0,9300,9300,0,0,7,7,86490000,0
106,4.783796,2.609156,262267500,611920101,87422500,0,9350,9350,0,0,7,7,87422500,0
183,4.940388,2.667614,265080000,618482401,88360000,0,9400,9400,0,0,7,7,88360000,0
107,5.035838,2.771447,265080000,618482401,88360000,0,9400,9400,0,0,7,7,88360000,0
109,4.804289,2.651447,267907500,625079701,89302500,0,9450,9450,0,0,7,7,89302500,0
110,4.908184,2.712192,270750000,631712001,90250000,0,9500,9500,0,0,7,7,90250000,0
111,4.850464,2.655279,273607500,638379301,91202500,0,9550,9550,0,0,7,7,91202500,0
112,5.51015,3.007711,276480000,645081601,92160000,0,9600,9600,0,0,7,7,92160000,0
186,5.29279,2.823879,276480000,645081601,92160000,0,9600,9600,0,0,7,7,92160000,0
114,5.04755,2.681369,279367500,651818901,93122500,0,9650,9650,0,0,7,7,93122500,0
115,10.527704,3.419685,282270000,658591201,94090000,0,9700,9700,0,0,7,7,94090000,0
116,5.494461,2.774198,285187500,665398501,95062500,0,9750,9750,0,0,7,7,95062500,0
117,4.957308,2.727956,288120000,672240801,96040000,0,9800,9800,0,0,7,7,96040000,0
188,5.016852,2.712872,288120000,672240801,96040000,0,9800,9800,0,0,7,7,96040000,0
118,4.990899,2.752218,291067500,679118101,97022500,0,9850,9850,0,0,7,7,97022500,0
119,5.211024,2.693053,294030000,686030401,98010000,0,9900,9900,0,0,7,7,98010000,0
121,5.01689,2.688684,297007500,692977701,99002500,0,9950,9950,0,0,7,7,99002500,0
189,5.320943,2.849227,300000000,699960001,100000000,0,10000,10000,0,0,7,7,100000000,0
122,5.208361,2.798387,300000000,699960001,100000000,0,10000,10000,0,0,7,7,100000000,0
