,time,caltime,pixmem,addsOrSubs,divisions,comparisons,width,height,width2,height2,dx,dy,X,Y,numPixelsOrig,numPixelsSub,index
91,0.992565,0.432042,151711978,0,0,150994543,10000,10000,348,741,0,0,8114,2913,100000000,257868,81142913
5,0.738696,0.316825,129016952,0,0,125444539,10000,10000,998,2655,0,0,8295,992,100000000,2649690,82950992
13,0.610997,0.266990,113593210,0,0,111575176,10000,10000,538,3581,0,0,8532,3130,100000000,1926578,85323130
73,0.179781,0.077658,34820090,0,0,31534428,10000,10000,391,8370,0,0,8659,1553,100000000,3272670,86591553
97,0.546428,0.224302,91580774,0,0,89000648,10000,10000,98,5061,0,0,8747,80,100000000,495978,87470080
68,0.406913,0.175911,77487854,0,0,75155356,10000,10000,375,5846,0,0,8763,1163,100000000,2192250,87631163
38,1.031085,0.439798,163555136,0,0,163114930,10000,10000,427,936,0,0,8972,6181,100000000,399672,89726181
107,1.137505,0.438471,176313004,0,0,174968189,10000,10000,634,387,0,0,9029,6880,100000000,245358,90296880
106,1.098929,0.454340,167861988,0,0,166824478,10000,10000,632,1033,0,0,9243,2259,100000000,652856,92432259
36,1.246053,0.505805,191120274,0,0,189164745,10000,10000,388,86,0,0,9440,7007,100000000,33368,94407007
14,1.120749,0.481741,180742676,0,0,178233597,10000,10000,283,714,0,0,9460,7238,100000000,202062,94607238
